date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:15	36335/36335	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:21%20GMT	http://templates.thememodern.com/amwal/index_6.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/index_6.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:16	47966/47966	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:26%20GMT	http://templates.thememodern.com/amwal/index_7.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/index_7.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:16	43255/43255	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:24%20GMT	http://templates.thememodern.com/amwal/index_8.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/index_8.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:17	69446/69446	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:27%20GMT	http://templates.thememodern.com/amwal/index_9.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/index_9.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:17	55733/55733	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:28%20GMT	http://templates.thememodern.com/amwal/index_10.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/index_10.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:17	48312/48312	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:29%20GMT	http://templates.thememodern.com/amwal/index_11.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/index_11.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:18	67414/67414	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:34%20GMT	http://templates.thememodern.com/amwal/index_12.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/index_12.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:18	27173/27173	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:02%20GMT	http://templates.thememodern.com/amwal/company_history.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/company_history.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:19	28070/28070	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:11%20GMT	http://templates.thememodern.com/amwal/company_history_2.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/company_history_2.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:19	30336/30336	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:27%20GMT	http://templates.thememodern.com/amwal/about.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/about.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:20	35603/35603	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:33%20GMT	http://templates.thememodern.com/amwal/about_2.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/about_2.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:21	31052/31052	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:36%20GMT	http://templates.thememodern.com/amwal/about_3.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/about_3.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:22	36142/36142	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:41%20GMT	http://templates.thememodern.com/amwal/about_4.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/about_4.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:23	26431/26431	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:56%20GMT	http://templates.thememodern.com/amwal/services.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/services.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:24	33025/33025	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:05:00%20GMT	http://templates.thememodern.com/amwal/single_services.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/single_services.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:25	37522/37522	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:05:04%20GMT	http://templates.thememodern.com/amwal/single_services_3.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/single_services_3.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:25	26488/26488	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:59%20GMT	http://templates.thememodern.com/amwal/cases.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/cases.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:25	31915/31915	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:05:04%20GMT	http://templates.thememodern.com/amwal/single_services_2.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/single_services_2.html	(from http://templates.thememodern.com/amwal/index.html)
